Class,left word,right word,left pos,right pos,foo
5,мужской,не,A,PART,foo
3,учить,приобретать,V,V,foo
4,и,на,CONJ,PR,foo
4,это,особенно,SPRO,ADV,foo
3,русский,как,S,CONJ,foo
3,иностранный,,A,,foo
5,общий,,A,,foo
1,олений,,A,,foo
5,бэсма,наподобие,S,PR,foo
5,расширять,программирование,V,S,foo
3,как,южный,ADVPRO,A,foo
3,арабский,железно,A,ADV,foo
3,знать,другой,V,APRO,foo
3,,ведь,,PART,foo
3,другой,давать,APRO,V,foo
3,второй,,ANUM,,foo
3,родной,иностранный,A,A,foo
3,родной,врожденный,A,A,foo
3,за,,PR,,foo
3,какой-нибудь,учить,APRO,V,foo
5,,инструмент,,S,foo
5,на,разметка,PR,S,foo
4,иносказательный,автор,A,S,foo
1,говорить,прокалывать,V,V,foo
3,второй,французский,ANUM,A,foo
3,трудный,из,A,PR,foo
3,какой,по,APRO,PR,foo
3,немецкий,я,A,SPRO,foo
3,й,английский,S,A,foo
3,английский,базовый,A,A,foo
3,русский,,S,,foo
3,русский,путем,A,PR,foo
2,особа,не,S,PART,foo
5,общий,,A,,foo
5,,взгляд,,S,foo
3,быть,происходить,V,V,foo
3,что,происходить,SPRO,V,foo
3,возникать,а,V,CONJ,foo
3,если,возникать,CONJ,V,foo
3,этот,из,APRO,PR,foo
3,,постоянно,,ADV,foo
3,азербайджанский,контакт,A,S,foo
3,знать,знать,V,V,foo
5,что,психология,SPRO,S,foo
3,государственный,российский,A,A,foo
3,русский,как,S,CONJ,foo
3,государственный,российский,A,A,foo
3,русский,и,A,CONJ,foo
3,что,генерироваться,SPRO,V,foo
2,повертываться,называть,V,V,foo
3,русский,рассказывать,S,V,foo
3,родной,верующий,A,S,foo
3,вообще,надежный,ADV,A,foo
3,,славянин,,S,foo
3,индоевропейский,и,A,CONJ,foo
3,общий,восточный,A,A,foo
3,общий,,A,,foo
3,этрусский,,A,,foo
3,изменяться,у,V,PR,foo
3,специфический,и,A,CONJ,foo
3,русский,,A,,foo
3,я,даваться,SPRO,V,foo
3,русский,и,A,CONJ,foo
3,немецкий,и,A,CONJ,foo
3,культура,со,S,PR,foo
3,единый,по,A,PR,foo
5,,эксперт,,S,foo
3,русский,означать,A,V,foo
2,охота,ломать,S,V,foo
2,отниматься,но,V,CONJ,foo
1,рот,становиться,S,V,foo
3,русский,,A,,foo
5,общий,и,A,CONJ,foo
3,японец,,S,,foo
5,общий,,A,,foo
3,китайский,вернее,A,ADV,foo
5,общий,,A,,foo
3,русский,возникать,A,V,foo
3,французский,изотоп,A,S,foo
5,общий,с,A,PR,foo
3,испанский,в,A,PR,foo
3,называться,и,V,CONJ,foo
2,тоже,не,PART,PART,foo
3,распухать,и,V,CONJ,foo
3,любой,даже,SPRO,PART,foo
3,русский,постоянно,S,ADV,foo
3,себя,в,SPRO,PR,foo
3,число,потому,S,ADVPRO,foo
3,быть,отражать,V,V,foo
3,что,правильно,SPRO,ADV,foo
3,русский,,A,,foo
3,русский,который,S,APRO,foo
5,общий,,A,,foo
3,вепский,подвергаться,A,V,foo
3,вепский,быть,S,V,foo
3,французский,в,A,PR,foo
3,иностранный,только,A,PART,foo
3,английский,тем,A,CONJ,foo
5,общий,на,A,PR,foo
3,разговорный,,A,,foo
3,английский,становиться,A,V,foo
4,сложный,но,A,CONJ,foo
3,русский,не,A,PART,foo
3,русский,и,S,CONJ,foo
3,русский,терять,A,V,foo
3,русский,на,S,PR,foo
3,русский,и,A,CONJ,foo
3,русский,в,A,PR,foo
3,русский,у,A,PR,foo
3,русский,как,A,CONJ,foo
3,рабочий,появляться,S,V,foo
3,русский,изучать,A,V,foo
3,русский,,A,,foo
3,русский,,S,,foo
3,немецкий,для,A,PR,foo
3,литература,и,S,CONJ,foo
3,английский,деловой,A,A,foo
3,русский,,S,,foo
3,немецкий,как,A,ADVPRO,foo
3,орокский,исчезать,A,V,foo
3,родной,использоваться,A,V,foo
3,родной,и,A,CONJ,foo
1,высовывать,а,V,CONJ,foo
3,твой,как,APRO,ADVPRO,foo
3,родной,без,A,PR,foo
3,твой,очень,APRO,ADV,foo
3,русский,учить,S,V,foo
3,финский,тогда,A,ADVPRO,foo
3,французский,,A,,foo
5,общий,кинэн,A,S,foo
3,но,мы,CONJ,SPRO,foo
3,себя,народ,SPRO,S,foo
5,,мысль,,S,foo
3,и,нагромождать,CONJ,V,foo
4,обычный,это,A,SPRO,foo
2,,миг,,S,foo
4,пронизывать,и,V,CONJ,foo
2,острый,и,A,CONJ,foo
4,литература,книга,S,S,foo
3,русский,однако,A,CONJ,foo
4,что,платонов,SPRO,S,foo
2,повертываться,сообщать,V,V,foo
2,держать,за,V,PR,foo
3,французский,,A,,foo
3,государственный,в,A,PR,foo
3,второй,французский,ANUM,A,foo
2,она,распускать,SPRO,V,foo
2,за,тянуть,PR,V,foo
2,уже,не,ADV,PART,foo
5,общий,с,A,PR,foo
1,что,навеки,SPRO,ADV,foo
1,показывать,не,V,PART,foo
3,русский,и,A,CONJ,foo
4,революционный,в,A,PR,foo
3,учить,предок,V,S,foo
3,русский,как,A,CONJ,foo
3,русский,как,A,CONJ,foo
3,наумовна,язык,S,S,foo
3,ли,язык,PART,S,foo
2,прикусывать,что,V,SPRO,foo
2,за,она,PR,SPRO,foo
2,повертываться,это,V,SPRO,foo
1,инжирный,,A,,foo
1,розовый,два,A,NUM,foo
2,два,развязываться,NUM,V,foo
1,на,сжинать,PR,V,foo
2,за,,PR,,foo
3,ошибка,обманчивый,S,A,foo
3,что,существовать,SPRO,V,foo
3,,передаваться,,V,foo
3,в,иврит,S,S,foo
3,бесписьменный,вообще,A,ADV,foo
3,цыганский,до,A,PR,foo
3,бесписьменный,он,A,SPRO,foo
3,,выглядеть,,V,foo
3,греческий,записывать,A,V,foo
3,еврейский,упоминать,A,V,foo
5,на,лирик,PR,S,foo
2,лагерь,повертываться,S,V,foo
1,стебель,тронуть,S,V,foo
3,бедный,выглядеть,A,V,foo
2,удерживать,,V,,foo
2,на,вахтерша,PR,S,foo
2,но,не,CONJ,PART,foo
5,быть,их,V,APRO,foo
5,фразеология,шекспир,S,S,foo
3,русский,профессиональный,A,A,foo
3,немецкий,,A,,foo
2,тот,и,APRO,CONJ,foo
2,на,романист,PR,S,foo
3,русский,и,A,CONJ,foo
2,она,прикусывать,SPRO,V,foo
2,самый,заплетаться,APRO,V,foo
2,на,блистательный,PR,A,foo
5,футбольный,мой,A,APRO,foo
5,общий,убеждать,A,V,foo
5,общий,и,A,CONJ,foo
3,русский,хорошо,A,ADV,foo
3,выучивать,и,V,CONJ,foo
3,английский,который,A,APRO,foo
