Left context	Center	Class	Right context
 критериев и желаний на мужской 	 язык 	5	не переводится…  
 Дети понимают, зачем они учат 	 язык 	3	приобретают опыт общения со сверстниками 
 возможности его уволят, хотя и 	 язык 	4	на уровне, и человек хороший 
 в необразовательных учреждениях, где это (	 язык 	4	особенно) требуется.  
 годом набирает обороты специальность «Русский 	 язык 	3	как иностранный» (РКИ).  
 учили немецкий как единственный иностранный 	 язык 	3	 
 они с Олей нашли общий 	 язык 	5	 
 осталось только на копчёный олений 	 язык 	1	 
 процесс, Лавров предложил для БЭСМ 	 язык 	5	наподобие Ассемблера, который позволял составлять 
 из первых попыток создать расширяемый 	 язык 	5	программирования: Лавров описал механизм последовательного 
 участь может постигнуть латышский как 	 язык 	3	южного соседа.  
   Арабский 	 язык 	3	железно замкнут в своём регионе 
  Зная 	 язык 	3	другого народа, ты умеешь думать 
  	 Язык 	3	ведь несёт психологию народа, на 
 мере с тем, что другой 	 язык 	3	даёт возможность принять чужую культуру 
 важно, каким именно будет второй 	 язык 	3	 
 и синтеза рече-подобных сигналов: родной 	 язык 	3	иностранные языки и музыка.  
 тогда человек либо забывает родной 	 язык 	3	врождённый билингва забывает оба), либо 
 зона Вернике (Wernicke) отвечает за 	 язык 	3	 
 что в Британии хоть какой-нибудь 	 язык 	3	учили бы в школах на 
  	 Язык 	5	Инструмент-3м предоставляет стандартные управляющие 
   * программированию на DTML (	 язык 	5	разметки шаблонов документов).  
 Это помогает зрителю понимать иносказательный 	 язык 	4	авторов, пытающихся оживить знаки и 
 и не больно… хочу говорит 	 язык 	1	проколоть и всё..: ((  
 школе предложили на выбор второй 	 язык 	3	французский или немецкий.  
 французский для него самый трудный 	 язык 	3	из 4-х, на которых он 
 выбрать надо один… а какой 	 язык 	3	по мнению вашего сына легче 
 повезло в том, что немецкий 	 язык 	3	я с нуля в Германии 
  Гуманитарный уклон, 2-й 	 язык 	3	английский), дополнительные факультативы и пр 
 и др. прикладные программы), английский 	 язык 	3	базовый.  
" и Л. Д. Чесноковой ""Русский "	 язык 	3	 
 запрещении внесения изменений в русский 	 язык 	3	путём орфографической реформы), свидетельствует, что 
 вечно озабоченную и невыспавшуюся особу ― 	 язык 	2	не поворачивается.  
 как ему казалось, нашёл общий 	 язык 	5	 
  	 Язык 	5	взглядов так же выразителен, как 
 единому общему слою, то есть 	 язык 	3	происходит из одного корня?  
  То есть то, что 	 язык 	3	произошёл из одного источника.  
 Центральная Африка, где, по-видимому, возникает 	 язык 	3	а потом происходит и первое 
  И если 	 язык 	3	возникает даже на уровне 50 
 что кроманьонцы уже освоили этот 	 язык 	3	из единого корня и принесли 
  	 Язык 	3	постоянно изменяется и приблизительно через 
 В результате многолетнего речевого (азербайджанский 	 язык 	3	контакта с человеком и тренинга 
  ― Пока.   ― Можешь говорить?  Знаешь 	 язык 	3	 ― Знаю.   ― Кто падишах Ирана?  
 т. п. Надо признать, что 	 язык 	5	"психологии сильно засорён ""сверхучеными"" словами "
"   ""Государственный "	 язык 	3	Российской Федерации подлежит обязательному использованию 
" привести выдержки, скажем, из статьи 1 ""Русский "	 язык 	3	как государственный язык Российской Федерации 
"   ""Государственный "	 язык 	3	Российской Федерации является языком, способствующим 
" пас"" уже вошёл в русский "	 язык 	3	и не стоит штрафовать, сажать 
 ротовой полости (Платон считал, что 	 язык 	3	генерируется языком как мышечным органом 
 вряд ли у кого-то повернётся 	 язык 	2	называть этих людей эмигрантами.  
 России и хорошо знающий русский 	 язык 	3	рассказывал о постоянных коллизиях, которые 
 богослужения с латыни на родной 	 язык 	3	верующих.  
 лингвистами в XIX в. Вообще, 	 язык 	3	надёжный признак всякой этнической общности 
  	 Язык 	3	славян в это время только 
   1. Гамкрелидзе Т. В., Иванов Вяч. Вс. Индоевропейский 	 язык 	3	и индоевропейцы.  
 таком локальном центре был общий 	 язык 	3	восточных славян.  
 отношении с трудом нахожу общий 	 язык 	3	 
 кто в Италии помнит этрусский 	 язык 	3	 
   У кочевых скотоводов изменился 	 язык 	3	у оседлых же пахарей сменилась 
 хакер. ru и др.), специфические 	 язык 	3	и мифология, герои (Кевин Митник 
 и переведённый нами на русский 	 язык 	3	 
 во французскую, так как мне 	 язык 	3	давался очень легко, и к 
 классную руководительницу, которая вела русский 	 язык 	3	и литературу.  
 он увозил с собой немецкий 	 язык 	3	и немецкую литературу.  
 такими понятиями, как просвещение, культура, 	 язык 	3	со всем, что составляет нашу 
" по нематериальным активам, разработать ""единый "	 язык 	3	по интеллектуальному капиталу, уточнить само 
   	 Язык 	5	экспертов для представления знаний о 
" кемер"" в переводе на русский "	 язык 	3	"означает ""уголь"".  "
 Соломонович, да Лазарь Соломонович…  Охота 	 язык 	2	ломать?  Зовите просто― ваше превосходительство 
 просьб у трактирщика, похоже, отнялся 	 язык 	2	но только на время.  
  У Ирины высох рот, 	 язык 	1	стал шерстяной.  
 говоришь, ― перевела Снежана на русский 	 язык 	3	 
 результате два мира находят общий 	 язык 	5	и совместными усилиями всё устраивают 
 песен на родной для японцев 	 язык 	3	 
 Минобороны и РАО ЕЭС общий 	 язык 	5	 
 просто поговорка такая, это китайский 	 язык 	3	вернее, один из основных его 
 нам с Сергеем находить общий 	 язык 	5	 
 мода на Россию, на русский 	 язык 	3	возникшая в середине 80-х ― начале 
 237 (при переводе на французский 	 язык 	3	изотоп, утратив два нейтрона, преобразовался 
 очень общителен, умеет находить общий 	 язык 	5	с людьми.  
 друга.  Я быстро выучила испанский 	 язык 	3	 В Мадриде появилось несколько друзей 
" имеющих некоторое знание языка, назывались """	 Язык 	3	"и цивилизация Франции"".  "
  У меня тоже 	 язык 	2	"не поворачивался сказать ему ""ты "
  Показывает на распухший 	 язык 	3	и я понимаю, что он 
 способный, что может выучить любой 	 язык 	3	даже японский.  
  Сохранила блестящий русский 	 язык 	3	постоянно сыплет цитатами из Ахматовой 
" языков программирования: ""Легко представить себе "	 язык 	3	в котором нет вопросительной и 
 собственную деятельность ― в том числе 	 язык 	3	потому что язык тоже есть 
 состоящий из фактов, и есть 	 язык 	3	отражающий этот мир.  
 опиралось бы на предположение, что 	 язык 	3	"правильно"" описывает действительность.  "
 тел.: 8-1048607336-244 (русский 	 язык 	3	 
 через русскую культуру, через русский 	 язык 	3	который близкий мне по духу 
 Грушин не смогли найти общий 	 язык 	5	 
 тридцатых вепская культура и вепский 	 язык 	3	подверглись большевистской выкорчёвке.  
  Вепский 	 язык 	3	был изгнан из национальных школ 
 альпийских лугов Eurocentres предлагает французский 	 язык 	3	в Невшателе, маленьком университетском городе 
  А иностранный 	 язык 	3	только 8 часов неделю (8 
 чем раньше я постигну английский 	 язык 	3	тем лучше будет для меня 
  Единственный общий 	 язык 	5	на котором мы могли общаться 
 быстро стал прогрессировать мой разговорный 	 язык 	3	 
  Мой английский 	 язык 	3	становился всё лучше и лучше 
  М.: НЛО.  Сложный 	 язык 	4	но интересная тема.   Владимир Набоков 
"   Камал Абдуллаев: ""Мы русский "	 язык 	3	"не потеряем никогда""  "
" час"", издаётся научно-методический журнал ""Русский "	 язык 	3	"и литература в Азербайджане"", выходит "
 кажется ли вам, что русский 	 язык 	3	теряет позиции в современном Азербайджане 
  Русский 	 язык 	3	на территории Азербайджанской Республики по 
 у нас здесь представлены, ― русский 	 язык 	3	и литература, это показывает первичный 
 что нет, потому что русский 	 язык 	3	в Азербайджане не потерял свои 
 языкам, но в основном русский 	 язык 	3	у нас на сегодняшний день 
   ― Можно сказать, что русский 	 язык 	3	как второй рабочий язык?  
  Сейчас третий рабочий 	 язык 	3	появляется― английский, этому тоже надо 
 бывшей республике Советского Союза, русский 	 язык 	3	изучают 20 тысяч студентов.  
" начало ощущаться ""наступление на русский "	 язык 	3	 
 И ЕЕ ПЕРЕВОДУ НА РУССКИЙ 	 ЯЗЫК 	3	 
 увлекательные и полезные программы: «Немецкий 	 язык 	3	для малышей», «Английский для малышей 
 русско-греческих культурных связей через литературу, 	 язык 	3	и историю периода Византийской империи 
" центр ""Экстрем""   Программа: гид-переводчик (английский "	 язык 	3	  Деловые и личностные качества  
 в эфире хороший литературный русский 	 язык 	3	 
   ― Немецкий 	 язык 	3	как и русский, не такой 
 человек.  В настоящее время орокский 	 язык 	3	исчезает.  Из всей этнической группы 
 владеет около 20 человек, родной 	 язык 	3	используется лишь старшим поколением при 
 Именно он перевёл на родной 	 язык 	3	и даже дописал сочинение, изданное 
  Видишь?  Он высунул 	 язык 	1	 А рядом с ним ― Славка 
 не хорошо.  Это же твой 	 язык 	3	 Как ты можешь не знать 
 только представь себе свой родной 	 язык 	3	без будущего времени.  
  Твой 	 язык 	3	очень обеднеет без будущего времени 
 то что теперь делать?   ―Русский 	 язык 	3	учи, ― рассмеялся он.   ― Да нет 
  Надо было ей финский 	 язык 	3	тогда нам преподавать.  
 где углубленно изучался бы французский 	 язык 	3	 
 от того, найдут ли общий 	 язык 	5	Кинэн и Буре.  
" культуры: ""Нас крестили по-гречески, но "	 язык 	3	нам дали болгарский.  
 Что мог принести с собой 	 язык 	3	народа, лишённого культурных традиций, литературы 
   	 Язык 	5	мысли: философия как литература и 
 вдохновенно, как лгут сознание и 	 язык 	3	нагромождая горы мусора и океаны 
  В переводе на обычный 	 язык 	4	это означает, что юридическое или 
  	 Язык 	2	мигом от страха прикусил и 
 к художественному слову, казёнщиной, пронизывавшей 	 язык 	4	и стиль этого писателя.  
 таких случаях надо иметь острый 	 язык 	2	и быстро соображающую голову.  
" мешает творческому расцвету нашей литературы""; "" "	 Язык 	4	"книги великолепен""), Клавдия Васильевна в "
 Париже, довольно неплохо знает русский 	 язык 	3	однако длинные анекдоты предпочитает рассказывать 
  Потому что 	 язык 	4	Платонова, стремящийся выйти за пределы 
  У начмеда не поворачивался 	 язык 	2	сообщить раздетому озябшему пареньку, что 
 с этой минуты ты держишь 	 язык 	2	за зубами, молчишь как рыба 
 наряду с английским получил французский 	 язык 	3	 
 может выбрать любой второй государственный 	 язык 	3	в дополнение к русскому.  
  В Квебеке второй 	 язык 	3	французский, в Нунавуте ― иннуктитут, в 
 жену укороти, чего это она 	 язык 	2	распускает, понимаешь.  
 а меня словно кто-то за 	 язык 	2	тянул:  
 И потом, у меня уже 	 язык 	2	не ворочается.  
 крайние левые легко находят общий 	 язык 	5	с охранкой…  
 до этого мне казалось, что 	 язык 	1	навеки прилип к гортани.  
 заставлял открывать рот и показывать 	 язык 	1	не мял живот, но долго 
 района, где она преподавала русский 	 язык 	3	и литературу, вдохновенно проводила родительские 
 них, принялся учить экзотический революционный 	 язык 	4	в странном заведении под названием 
 к ним в группу учить 	 язык 	3	предков и впоследствии писавшую заметки 
 рода название переводилось на русский 	 язык 	3	"как ""жгучий перец"".  "
 летом  русский 	 язык 	3	как иностранный, а и папа 
 Вот именно! ― продолжала Елена Наумовна.  ― 	 Язык 	3	язык!  Это так важно!  
 столько жизней, не правда ли?  	 Язык 	3	язык!  Это стихия, стихия!  
" А сыр?  "" Но вовремя прикусил "	 язык 	2	 Что скажешь?  
  Чёрт меня дёрнул за 	 язык 	2	она не поняла, при чём 
 назвать его живым не поворачивался 	 язык 	2	это было лицо человека, спящего 
 зажмурился и высунул сладкий инжирный 	 язык 	1	 
" пива ""Корона"", вытряс на розовый "	 язык 	1	две светлые капли, а потом 
 было ясно как дважды два.  	 Язык 	2	развязывался.  ― За этот.  
 поддел картофельную долечку, положил на 	 язык 	1	сжал зубами ― она захрустела.  
 ведь тянет, тянет чёрт за 	 язык 	2	 
 но никак не грубые ошибки.   	 Язык 	3	"обманчивая материя. ""  Человеку с улицы "
 языкознания состоит в том, что 	 язык 	3	существует независимо от того, есть 
  	 Язык 	3	передаётся от поколения к поколению 
" его ""воскрешения"" в XIX в.) "	 язык 	3	иврит [см. НХ 2: 83 
 для живого языка, то бесписьменный 	 язык 	3	вообще не имел бы никаких 
 с другими славянскими языками; цыганский 	 язык 	3	до сих пор в существенных 
 Над тем, как функционирует бесписьменный 	 язык 	3	ему, по-видимому, вообще не приходилось 
  	 Язык 	3	выглядит в их построениях как 
 не что иное, как греческий 	 язык 	3	записанный египетскими иероглифами.  
" состоит в следующем: 1)"" Еврейский "	 язык 	3	упоминаемый в церковных текстах ― это 
 мысли с языка познания на 	 язык 	5	лирики…  
 тебя после восьми лет лагерей 	 язык 	2	поворачивается произносить это ужасное слово 
 губа приникла к деревянному стеблю, 	 язык 	1	тронул пластмассовую трость.  
 в переводе на её бедный 	 язык 	3	выглядели приблизительно так:  
 сам готов жениться, но удержал 	 язык 	2	 
 Синхрофазотрон, почему-то попавший Сергею на 	 язык 	2	вахтёршу вполне удовлетворил.  
 Таня хотела что-то возразить, но 	 язык 	2	не повернулся, потому что всё 
 Так случилось, что это был 	 язык 	5	их детства, урождённой панны Чарнецкой 
 изыски начались, полновесная классическая фразеология, 	 язык 	5	Шекспира, Байрона и Уайльда, понимаешь 
 и Египта начинают изучать русский 	 язык 	3	профессиональные охотники ЮАР, Замбии, Танзании 
 не всё, я учу немецкий 	 язык 	3	 
"    ""Мусульманин ― это тот, "	 язык 	2	и руки которого не причиняют 
   ― Ну, попался на 	 язык 	2	романисту! ― проворчал Витя и снова 
 этой коросты, ныне покрывшей русский 	 язык 	3	и оголтелое наше общество ― и 
 молодуху поглядел так, что она 	 язык 	2	прикусила.  
 скажите мне, пожалуйста (у самого 	 язык 	2	заплетается от растерянности, не знает 
 Арнольда Григорьевича великолепно злым на 	 язык 	2	блистательно, остроумно язвительным.  
 высочайшего ранга, переводя на футбольный 	 язык 	5	моего детства, там, пожалуй, нет 
 Борису ― и Борис находил общий 	 язык 	5	убеждал, шутил.  
 предприятиях найти с начальником общий 	 язык 	5	и тоже всегда достигал результатов 
" голосом: ""Буба, ты же русский "	 язык 	3	хорошо знаешь, да, а я 
  Выучил 	 язык 	3	и смог без посредников разговаривать 
  Налёг и на английский 	 язык 	3	который знал, но не настолько 
